|,|__state,|__site_name,|__county,|__info,|__latitude,|__longitude,|__elev,|__station
541,CA,Independence Lake ,Nevada,Sagehen Creek ,39.42752,-120.31342,2541.1,ILKC1
542,CO,Independence Pass ,Pitkin,Lincoln Creek ,39.07539,-106.61169,3230.9,IDPC2
543,UT,Indian Canyon ,Duchesne,Left Fork Indian Canyon ,39.89166,-110.74604,2795,ICYU1
544,WY,Indian Creek ,Lincoln,East Fork Hams Fork-Hams Fork ,42.30023,-110.67753,2872.7,INCW4
545,OR,Irish Taylor ,Deschutes,Deer Creek ,43.80368,-121.94793,1688.6,BEDO3
546,ID,Island Park ,Fremont,Buffalo River ,44.4203,-111.38512,1917.2,ISPI1
547,CO,Ivanhoe ,Pitkin,Headwaters Fryingpan River ,39.29202,-106.54923,3169.9,IVHC2
548,NV,Jack Creek Upper ,Elko,Upper Harrington Creek ,41.54675,-116.00517,2248.2,JCUN2
549,NV,Jacks Peak ,Elko,Upper Harrington Creek ,41.5136,-116.0117,2567,JAPN2
550,ID,Jackson Peak ,Boise,Fivemile Creek-South Fork Payette River ,44.05092,-115.44322,2154.9,JKPI1
551,CO,Joe Wright ,Larimer,Joe Wright Creek ,40.53215,-105.887,3084.6,JWRC2
552,OR,Jump Off Joe ,Linn,Sevenmile Creek-South Santiam River ,,,,
553,WA,June Lake ,Skamania,Swift Creek ,44.38605,-122.15413,1072.9,JOJO3
554,WY,Kelley R.S. ,Lincoln,West Fork Hams Fork ,42.2689,-110.8056,2493.3,KLLW4
555,WY,Kendall R.S. ,Sublette,Lime Creek-Green River ,43.2493,-110.01662,2359.2,KNDW4
556,CO,Kiln ,Pitkin,Deeds Creek-Fryingpan River ,39.31724,-106.61453,2926.1,KLNC2
557,UT,Kimberly Mine ,Piute,Mill Creek ,38.484,-112.39272,2773.7,KMNU1
558,OR,King Mountain ,Jackson,Whitehorse Creek-Cow Creek ,42.72,-123.2,1322.8,KIMO3
559,UT,Kings Cabin ,Uintah,Middle Little Brush Creek ,40.71632,-109.54401,2660,KGCU1
560,WY,Kirwin ,Park,Upper Wood River ,43.86067,-109.32163,2910.8,KRWW4
561,UT,Kolob ,Iron,Crystal Creek ,37.52641,-113.05386,2823.1,KLBU1
562,MT,Kraft Creek ,Missoula,Kraft Creek ,47.42749,-113.77515,1447.8,KRCM8
563,OR,Lake Creek R.S. ,Grant,Lake Creek ,44.21007,-118.63752,1597.2,LKCO3
564,CO,Lake Eldora ,Gilpin,Middle Boulder Creek ,39.93678,-105.8198,2956.6,LELC2
565,CO,Lake Irene ,Grand,Headwaters Colorado River ,40.41432,-105.8198,3261.4,LKIC2
566,UT,Lakefork #1 ,Duchesne,Crystal Creek-Yellowstone River ,40.59709,-110.43316,3086.7,LKFU1
568,MT,Lakeview Ridge ,Beaverhead,Odell Creek ,44.58907,-111.82498,2255.5,LVRM8
569,NV,Lamance Creek ,Humboldt,Lamance Creek-Big Cottonwood Creek ,41.51542,-117.63197,1948.9,LMCN2
570,NV,Lamoille #3 ,Elko,Thomas Creek-Lamoille Creek ,40.6448,-115.3812,2453.6,LMLN2
571,WY,Laprele Creek ,Converse,Upper La Prele Creek ,42.43583,-105.86083,2552.7,LPPW4
